salary;age;elevel;car;zipcode;credit;brand
1.198.065.448;45;0;14;4;4.420.377.113;0
1.068.804.784;63;1;11;6;4.500.717.883;1
7.802.075.094;23;0;15;2;4.879.532.279;0
6.368.993.635;51;3;6;5;4.088.887.736;1
508.736.188;20;3;14;4;3.529.514.977;0
1.308.127.428;56;3;14;3;135.943.022;1
1.364.593.392;24;4;8;5;8.050.056.351;1
1.038.668.996;62;3;3;0;3.598.038.935;1
7.229.880.402;29;4;17;0;2.762.986.952;0
3.780.333.285;41;1;5;4;4.932.192.686;1
6.370.426.156;48;4;16;5;2.994.602.274;1
1.289.999.356;52;1;6;0;1.522.325.098;0
5.799.129.599;52;3;20;4;2.277.437.497;1
8.247.457.645;33;4;13;3;4.246.574.967;0
6.398.896.981;62;2;6;3;2.621.363.065;0
1.323.103.604;23;1;11;4;4.519.276.024;1
1.132.363.836;24;2;7;7;1.983.818.984;1
1.205.255.994;57;1;6;2;159.646.837;0
1.214.576.349;50;2;2;8;4.153.592.324;0
8.974.099.923;77;0;18;2;1.950.919.259;1
951.421.181;44;0;2;8;8.981.829.461;0
8.738.395.734;80;3;7;5;2.431.666.117;1
2.114.394.206;64;2;11;2;2.966.352.507;1
3.458.164.726;55;0;15;6;1.856.032.507;1
3.720.074.208;32;3;9;6;1.685.470.761;1
6.030.550.057;58;1;4;4;4.697.195.006;1
3.283.941.644;30;4;20;1;1.772.243.626;1
4.507.050.666;48;3;1;5;3.604.463.909;1
9.241.781.235;43;0;2;0;2.267.744.642;0
1.077.103.192;75;0;16;2;2.090.024.065;1
1.484.954.447;62;2;9;1;3.774.952.951;1
7.823.812.041;70;3;8;0;8.043.257.726;0
9.773.675.249;21;1;1;2;7.688.224.568;1
9.131.519.507;57;3;16;6;2.673.509.575;0
1.254.521.207;42;3;14;1;417.529.833;1
3.857.920.533;44;2;10;3;842.602.812;1
3.804.311.147;52;2;2;3;2.100.045.866;1
4.969.209.674;42;4;8;2;4.628.261.495;1
1.014.546.305;26;0;18;2;2.296.079.969;0
1.232.660.939;45;0;17;3;0;0
1.083.560.675;26;0;9;0;1.933.130.143;1
1.452.274.387;51;1;5;3;4.361.867.925;1
4.703.866.895;37;4;11;4;2.637.201.677;1
9.038.044.913;28;2;17;0;0;0
8.763.404.855;59;2;5;6;2.067.119.404;1
1.322.099.161;68;2;4;6;4.175.556.048;1
7.486.880.467;71;1;7;5;176.808.022;0
7.501.431.541;72;3;18;3;2.961.452.233;1
9.798.602.981;69;2;5;5;2.475.532.448;1
7.668.700.712;41;0;4;3;4.057.972.386;0
3.667.932.036;35;4;12;1;157.273.963;1
8.757.247.168;43;1;12;4;68.500.989;0
1.257.965.011;57;0;15;7;3.234.237.621;0
1.100.276.772;52;0;16;4;3.867.344.386;0
8.101.525.683;63;0;7;7;250036;1
8.840.544.247;36;4;8;7;195.042.678;0
7.970.908.819;51;2;3;1;2.919.924.442;0
1.169.821.324;42;0;5;6;2.506.993.393;0
3.676.119.167;32;2;6;2;1.148.260.399;1
1.019.968.511;33;0;8;2;2.765.451.894;0
3.099.166.107;75;1;18;4;307.978.644;0
1.378.718.319;24;0;17;5;1.157.815.242;1
8.318.507.469;62;4;2;8;1.631.084.384;1
3.143.023.788;47;4;10;2;1.772.977.198;1
5.088.313.139;72;1;18;6;2.599.570.146;0
6.370.835.087;31;0;18;6;1.292.633.169;0
6.643.146.169;79;1;20;6;3.887.632.145;0
1.454.096.872;22;1;16;3;3.931.375.146;1
7.944.880.903;42;2;5;2;6.260.436.209;0
1.319.578.134;65;4;11;1;2.382.530.074;1
9.170.859.748;44;4;9;5;3.962.555.288;0
150000;46;4;1;8;3.131.585.103;1
1.095.051.253;61;2;10;3;6.895.284.297;0
1.319.277.112;63;1;8;1;4.245.659.627;1
1.105.390.599;64;4;11;6;2.574.765.904;1
1.331.623.653;69;0;7;8;4.139.964.766;1
1.403.520.096;75;2;15;4;3.392.766.955;1
8.516.121.816;64;2;14;5;3.649.125.654;1
4.295.452.214;64;0;13;0;4.635.022.803;0
1.437.566.798;54;1;13;2;8.856.027.002;1
1.373.689.441;57;4;12;8;4.151.562.822;1
4.337.795.669;30;0;6;2;1.903.361.605;1
8.591.998.579;75;3;7;1;4.341.286.628;1
1.477.884.085;30;1;5;2;1.319.634.556;1
6.692.338.974;73;4;11;1;2.669.257.954;0
1.442.895.569;31;4;7;7;1.131.200.512;1
9.194.770.597;73;0;12;6;2.378.135.768;1
9.678.584.648;52;4;19;5;1.487.487.091;0
4.739.923.601;21;4;2;3;3.621.880.274;1
4.215.855.331;53;1;3;6;1.219.615.697;1
567.409.202;66;2;18;6;1.446.052.693;0
1.010.768.581;22;0;6;1;2.685.325.642;1
3.785.462.392;59;0;9;0;4.964.847.927;1
1.045.247.856;75;3;9;3;2.526.023.268;1
5.105.351.946;30;0;15;5;8.835.459.118;0
4.682.250.581;29;2;7;8;4.143.812.016;0
3.475.947.997;58;4;16;1;3.968.185.906;1
1.416.280.388;75;2;18;3;3.266.860.247;1
5.962.893.628;36;4;12;7;2.902.625.533;0
7.835.897.271;76;3;10;7;3.658.277.418;1
269.638.117;35;1;8;5;2.662.198.571;1
1.161.126.737;26;4;19;7;4.044.504.455;1
8.324.606.241;73;3;13;2;252.877.311;1
1.306.593.274;29;0;15;0;2.711.946.055;1
4.786.826.996;41;2;14;3;3.623.061.235;1
9.603.356.517;57;1;14;6;482.692.673;0
3.139.228.755;24;1;1;7;4.912.957.244;1
6.973.779.123;61;2;16;6;3.483.969.512;0
2.710.274.327;46;0;16;2;2.938.421.544;1
2.365.464.631;76;0;14;1;4.603.995.189;1
1.385.606.316;62;4;18;0;8.121.909.461;1
8.473.079.371;61;4;16;6;1.908.602.432;1
1.382.216.411;45;2;7;4;2.192.825.017;1
8.079.843.468;47;2;11;5;3.907.803.539;0
1.290.504.786;77;4;10;4;4.816.446.779;1
9.683.944.554;53;1;18;4;3.938.533.631;0
1.160.806.148;65;3;19;8;7.090.989.901;1
1.008.200.127;70;4;4;6;4.630.762.302;1
1.292.749.851;29;2;12;0;9.882.008.272;1
102.307.338;77;0;3;1;3.050.631.696;1
1.124.713.817;24;1;2;2;3.185.648.699;1
4.888.022.734;38;2;9;4;3.761.457.739;1
8.046.046.303;21;4;2;7;1.803.881.352;0
4.372.780.569;43;3;19;1;1.998.372.545;1
1.348.328.799;44;3;10;6;387.388.682;1
8.928.260.355;55;3;14;4;2.459.252.087;0
1.176.632.622;70;1;5;0;291.348.255;1
1.170.369.001;34;3;3;2;1.142.592.543;1
1.035.616.649;38;3;4;7;3.620.720.556;1
2.396.483.034;57;1;17;4;165.441.501;1
534.521.516;32;1;20;2;2.475.574.467;0
1.346.638.237;51;1;2;1;4.769.903.625;1
2.770.555.768;41;4;16;5;2.139.087.984;1
684.203.845;26;4;14;2;4.850.348.151;0
8.349.984.104;78;4;19;3;211.182.218;1
4.525.789.254;40;2;11;4;3.748.508.742;1
220.833.418;52;1;14;7;8.764.363.816;1
115.221.605;42;3;12;8;460.387.283;0
8.402.068.676;72;4;11;4;3.341.059.909;1
1.098.301.691;24;1;9;8;1.441.569.785;1
1.407.847.192;60;4;3;4;4.854.681.685;1
104.363.634;29;2;15;8;7.176.209.863;1
5.808.991.395;45;2;9;5;4.604.393.142;1
1.384.835.089;34;4;17;7;1.589.329.768;1
2.722.880.043;39;0;19;1;365.463.041;1
1.202.330.347;70;2;16;8;9.100.591.966;1
1.377.946.133;24;0;13;2;2.164.819.042;1
3.346.640.514;74;4;20;6;1.238.520.306;0
2.638.696.058;52;1;3;2;9.375.819.955;1
1.251.169.682;32;3;15;0;2.901.774.608;1
1.118.727.192;41;0;8;1;1.367.456.176;0
