"","salary","age","elevel","car","zipcode","credit","brand","PredictedBrand"
"1",110499.7354,54,"3",15,4,354724.1825,"0","0"
"2",140893.7791,44,"4",20,7,395015.339,"1","1"
"3",119159.6517,49,"2",1,3,122025.0852,"0","0"
"4",20000,56,"0",9,1,99629.62146,"1","1"
"5",93956.32049,59,"1",15,1,458679.8262,"0","0"
"6",41365.43328,71,"2",7,2,216839.7152,"0","0"
"7",94805.61113,32,"1",17,1,233216.0707,"0","0"
"8",34410.6276,33,"4",17,0,450707.3812,"1","1"
"9",128298.8212,32,"1",19,2,20768.06415,"1","1"
"10",100806.9209,58,"2",8,4,293106.6546,"0","0"
"11",49863.40964,22,"1",12,1,156086.6867,"0","0"
"12",94554.18804,47,"4",12,2,100467.99,"0","0"
"13",79637.65823,41,"2",1,3,387564.5476,"0","0"
"14",87085.57895,40,"4",9,2,458378.0004,"0","0"
"15",126945.6663,62,"3",4,4,211178.9014,"1","1"
"16",29080.92083,58,"1",13,3,29965.97517,"1","1"
"17",147561.7258,28,"4",6,8,322196.3147,"1","1"
"18",72346.05201,37,"3",15,8,403166.447,"0","0"
"19",52129.77195,44,"3",9,6,73639.45893,"1","1"
"20",35640.04161,57,"3",10,8,91722.42434,"1","1"
"21",100868.9066,39,"0",5,2,300078.3626,"0","0"
"22",98780.08068,77,"1",12,6,139597.9537,"1","1"
"23",140685.8197,73,"2",8,1,185189.3088,"1","1"
"24",109305.1954,31,"2",17,0,166310.2379,"1","1"
"25",117212.3783,30,"3",6,7,260175.807,"1","1"
"26",41430.31861,53,"2",10,5,7023.300616,"1","1"
"27",56118.04644,69,"4",2,8,41596.72091,"0","0"
"28",79203.78449,75,"2",4,0,461032.0939,"1","1"
"29",136189.4317,56,"0",12,6,152598.1311,"1","1"
"30",67249.51459,30,"2",11,6,455241.0776,"0","0"
"31",22854.2421,72,"2",6,1,321523.4878,"1","1"
"32",30211.41075,41,"0",19,4,481293.5213,"1","1"
"33",116690.5653,50,"2",10,1,199885.5631,"0","0"
"34",94375.87719,27,"3",18,4,403469.11,"0","0"
"35",91129.12641,75,"3",10,6,328625.351,"1","1"
"36",94446.2489,67,"3",8,5,352264.6121,"1","1"
"37",83858.10407,20,"4",5,8,51211.42228,"0","0"
"38",49898.09807,72,"4",12,6,484565.2146,"0","0"
"39",27323.5208,30,"0",17,8,233145.8521,"1","1"
"40",73249.47943,27,"0",2,1,49875.72997,"0","0"
"41",40408.25989,54,"2",14,0,437909.3552,"1","1"
"42",48225.18379,25,"4",6,3,179703.2016,"1","1"
"43",45520.00972,33,"1",14,2,138640.2199,"1","1"
"44",30372.27565,80,"0",5,3,481605.8996,"0","0"
"45",33167.37542,26,"1",18,6,475809.1777,"1","1"
"46",55260.32748,59,"2",7,6,450971.8521,"1","1"
"47",100862.5066,77,"3",14,7,135444.8306,"1","1"
"48",33926.48622,42,"1",15,5,338957.7912,"1","1"
"49",34547.10556,69,"4",15,8,178745.3287,"0","0"
"50",50400.92157,46,"2",11,5,155881.1573,"1","1"
"51",36771.82483,66,"0",15,3,285592.9044,"0","0"
"52",57293.90047,61,"3",2,7,254309.3692,"0","0"
"53",103162.1155,22,"0",11,6,20154.04327,"1","1"
"54",84321.91334,40,"4",7,7,240352.3575,"0","0"
"55",44978.93098,51,"3",8,2,30226.27318,"1","1"
"56",33261.0419,74,"1",2,2,441965.5178,"0","0"
"57",138174.402,24,"1",19,7,34065.70539,"1","1"
"58",146356.9425,74,"2",10,5,344798.6671,"1","1"
"59",99339.7986,34,"0",9,2,6024.31096,"0","0"
"60",71182.20266,63,"0",6,5,66611.49486,"0","0"
"61",71550.5906,31,"1",14,0,160777.2432,"0","0"
"62",86560.86808,55,"3",8,7,381447.6931,"0","0"
"63",95906.64061,44,"3",16,4,470045.167,"0","0"
"64",79439.6358,27,"4",6,7,464938.9837,"0","0"
"65",39651.73721,76,"1",5,6,327289.4095,"0","0"
"66",41118.99813,25,"4",6,1,90189.79818,"1","1"
"67",93839.26542,70,"2",9,3,332445.9659,"1","1"
"68",113076.8079,45,"3",16,1,365643.4332,"0","0"
"69",32036.68512,25,"3",4,3,74054.9112,"1","1"
"70",20000,68,"0",3,0,213894.2584,"1","1"
"71",39392.14635,30,"2",8,2,266690.8952,"1","1"
"72",112852.7192,48,"4",14,8,407602.7403,"0","0"
"73",38512.89603,48,"1",10,3,0,"1","1"
"74",44428.60558,32,"3",10,8,192674.5249,"1","1"
"75",126738.6976,28,"2",20,8,149647.004,"1","1"
"76",136683.3775,24,"1",8,4,212461.5516,"1","1"
"77",53883.25098,54,"4",11,5,89236.34933,"1","1"
"78",133290.5005,72,"1",9,3,478544.7558,"1","1"
"79",123095.006,53,"4",18,0,205545.717,"1","1"
